code,product_name,language,allergens,text,image_url,filename
9556231110144,Toast'em Butter Raisin,en,"gluten, milk, soybeans, contains-wheat-gluten","High Protein Wheat Flour (Unbleached), Filtered Water, Raisin (10%), Granulated Sugar, Flavoured Compound Chips (Palm, Milk and Soy based) (6%), Vegetable Fat (Non-hydrogenated, Palm based), Wheat Protein, Yeast, Dextrose, Salt, Potato Flour, Milk and Milk Derivatives, Cinnamon Powder, Butter (Milk) (0.1%), Vitamin C, Vitamin A, Vitamin E, Beta Carotene, Iron, Emulsifiers: INS 471, INS 472e, INS 481(i), Stabilizers: INS 420, INS 516, Acidity Regulator: INS 330, Enzymes: INS 1100(i), INS 1100(iii), Preservative: INS 282, Antioxidants: INS 300, INS 307c, Flavourings, Colouring: Beta Carotene.",https://images.openfoodfacts.org/images/products/955/623/111/0144/front_en.4.400.jpg,9556231110144_en.jpg
7622210625854,Cream crackers,en,"gluten, soybeans","Wheat Flour, Non-Hydrogenated Vegetable Oil (Palm Oil-Contains Antioxidant TBHQ (INS319), Palm Olein - Contains Antioxidant BHA (INS320), Salt, Vitamins and Minerals (Calcium Carbonate, Iron (Ferric Pyrophosphate), B3, Vitamin A Acetate, B6, B1, B2, lodine (Potassium lodide), B12), Yeast, Raising Agents (Ammonium Bicarbonate (INS503(ii)), Sodium Bicarbonate (INS500(ii), Flavour, Emulsifier (Sodium Stearoyl Lactylate (INS481(i), Flour Treatment Agent (Amylase (INS1100). Food additives are of plant and synthetic origins. Alergen information: Contains wheat and soya.
Manufactured on equipment that also processes products containing milk and barley",https://images.openfoodfacts.org/images/products/762/221/062/5854/front_en.13.400.jpg,7622210625854_en.jpg
7622210410474,Dairy Milk,en,"milk, soybeans","MILK SOLIDS, SUGAR, COCOA MASS, COCOA BUTTER, NON-HYDROGENATED VEGETABLE FAIS PALM, SHEA, ILLIPE), EMULSIFIERS (SOYA LECITHIN (INS322), PGPR (INS476)), FLAVOURINGS. FOOD ADDITIVES ARE OF PLANT AND SYNTHETIC ORIGINS. CONTAINS VEGETABLE FAT IN ADDITION TO COCOA BUTTER.",https://images.openfoodfacts.org/images/products/762/221/041/0474/front_en.30.400.jpg,7622210410474_en.jpg
9556439885158,Oat krunch strawberry& blackct,en,"gluten, milk, nuts","oat flake,wheat flour, vegetable fat,(palm oil) ,sugar, glucose, syrup,strawberry,milk  powder,hazelnut",https://images.openfoodfacts.org/images/products/955/643/988/5158/front_en.15.400.jpg,9556439885158_en.jpg
9555432804265,Chocolate Butter Cookies,en,milk,"Rice flour, maize flour, chocolate, brown sugar, sea salt, baking powder (aluminum free), butter",https://images.openfoodfacts.org/images/products/955/543/280/4265/front_en.5.400.jpg,9555432804265_en.jpg
6946431800281,Mission Tortilla Chips,en,soybeans,"Whole Stoneground Corn Treated with Lime, Vegetable Palm Oil, Water, BBQ Favour Seasoning [ Sugar, Onion Powder, Soy Sauce Powder (Soy Sauce, Maltodextrin), Salt, Yeast Extract, Tomato Powder, Flavour, Garlic Powder, Chili Powder, Tricalcium Orthophosphate, Disodium 5-Ribonucleotide, Aspartame (Contains Phenylalanine) ], Carotenes (Vegetable).",https://images.openfoodfacts.org/images/products/694/643/180/0281/front_en.6.400.jpg,6946431800281_en.jpg
8904150501696,muffin mix,en,,"Sugar, Wheat Flour Compound Chocolate Chips (12%) (Sugar, Cocoa Solids, Hydrogenated Vegetable Fat (Palm), Dextrose, Emulsifier (INS3220, INS491), Natural Flavouring Substance(Vanilla), Edible Vegetable Oil,Modified Starch (INS1422), Raising Agents (INS500, INS541(0, INS341(0), Dextrose, Emulsifiers and Stabilizers (INS471, INS410, INS415, INS466), Salt, Artificial Flavouring Substance (Vanilla CONTAINS PERMITTED FLAVOURING AND FOOD CONDITIONER",https://images.openfoodfacts.org/images/products/890/415/050/1696/front_en.4.400.jpg,8904150501696_en.jpg
9316434288572,Strawberry Yoghurt Coated Muesli bars,en,"gluten, milk, soybeans, corn, corn","Oat flakes, yoghurt cream (sugar, vegetable fats (palm kernel, palm, coconut), yoghurt powder (skimmed milk), whey powder, lecithin (soya), citric acid), cereal crisps (wheat flour, wheat malt, salt), oligofructose syrup, glucose fructose syrup, sugar, palm fat, maltodextrin, cornflakes (corn, salt, barley malt extract), strawberry, flavouring, citric acid; concentrated apple juice, salt, lecithin (soya).",https://images.openfoodfacts.org/images/products/931/643/428/8572/front_en.3.400.jpg,9316434288572_en.jpg
9555844500236,Callebaut Cookies with melted chocolate,en,"eggs, milk","Flour, salted butter, sugar, sugar, egg, & dark chocolate. Contact: +6 0111 140 6533 brown Consume at Your Own Risk!",https://images.openfoodfacts.org/images/products/955/584/450/0236/front_en.14.400.jpg,9555844500236_en.jpg
8858702411226,Big Roll Grilled Seaweed Roll,en,soybeans,"Seaweed 95%, Sugar 2.25%, Spices (Shiitake, Cinnamon, Clove, Pepper Powder) 0.85%,Hydrolyzed Plant Protein 0.64%, Fermented Soy Sauce (Soybean, Maltodextrin, Salt, Caramel (Colour (E150 C)) 0.55%, Flavour Enhancer (E627, E631) 0.36%, Salt 0.35%.",https://images.openfoodfacts.org/images/products/885/870/241/1226/front_en.4.400.jpg,8858702411226_en.jpg
50819324,fisherman's friend,en,,"Active: Menthol (3.45mg). Other Ingredients: Sorbitol, Magnesium Stearate, Sucralose.",https://images.openfoodfacts.org/images/products/000/005/081/9324/front_en.15.400.jpg,50819324_en.jpg
4894514034714,MENGLEMBU GROUNDNUTS,en,peanuts,PEANUTS (96%) AND SALT. [THIS PRODUCT CONTAINS PEANUT. PRODUCT CONTAINS OXYGEN ABSORBER. DO NOT EAT CONTENTS. CONTAINS IRON POWDER.] .],https://images.openfoodfacts.org/images/products/489/451/403/4714/front_en.20.400.jpg,4894514034714_en.jpg
9554100348827,Chocolate 72% cacao coffee,en,,"Malaysian Cacao Beans, Refined Cane Sugar, Cocoa Butter, Brazillian Coffee Beans",https://images.openfoodfacts.org/images/products/955/410/034/8827/front_en.3.400.jpg,9554100348827_en.jpg
1200108000820,Doritos,en,milk,"Corn 68%, Palm Olein, Nacho Cheese Seasoning (Maltodextrin, Cheese, lodized Salt, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotide), Whey Protein Powder, Whey Powder, Onion Powder, Tomato Powder, Skimmed Milk Powder, Natural Cheese Flavor, Anticaking Agents (Silicon Dioxide, Calcium Silicate), Paprika Extract, Sunflower Oil, Dextrose, Sugar, Lactose, Stabilizer (Sodium Phosphate Dibasic), Acidity Regulator (Citric Acid), Garlic Powder, Black Pepper Powder). Allergen Information: Contains Milk.",https://images.openfoodfacts.org/images/products/120/010/800/0820/front_en.12.400.jpg,1200108000820_en.jpg
9556001220660,Milo Nuggets,en,"gluten, milk, soybeans","Sugar, Milk Solids (Cow's Milk), Vegetable Fat And Oil (Palm, Illipe, Shea), Extract Of Malt Barley And Starch, Cocoa Powder, Emulsifier (Soya Lecithin), Minerals (Dicalcium Phosphate, Disodium Phosphate, Ferric Pyrophosphate), Vitamins (Ascorbic Acid, Niacin, Pyridoxine, Riboflavin, Vitamin D3, Vitamin B12), Natural Flavouring. Contains Food Allergens: Milk, Gluten (from barley), Soya. May Contain: Peanuts And Tree Nuts.",https://images.openfoodfacts.org/images/products/955/600/122/0660/front_en.27.400.jpg,9556001220660_en.jpg
4008400351926,Hanuta Minis,en,"gluten, milk, nuts, soybeans","Sugar, vegetable fats (palm, shea), HAZELNUTS (13,5%), WHEAT flour (12%), WHEY powder, fat reduced cocoa powder (9%), fine MILK chocolate (sugar, whole MILK powder, cocoa butter, cocoa mass, emulsifier: lecithins (SOY); flavouring: vanillin), skimmed MILK powder, concentrated BUTTER, salt, fine chocolate (sugar, cocoa mass, cocoa butter, emulsifier: lecithins (SOY); flavouring: vanillin), flavourings, emulsifier: lecithins (SOY), dextrose, raising agent (sodium hydrogen carbonate), flavouring: vanillin.",https://images.openfoodfacts.org/images/products/400/840/035/1926/front_de.50.400.jpg,4008400351926_en.jpg
8992760211036,Ritz Crackers Box,en,"gluten, peanuts, soybeans","wheat flour, non hydrogenated vegetable oil (pali sugar, high fructose syrup, raising agents (e503(ii), e5000i)), salt, stabilizer (e341(i)), emulsifier (soy lecithin), flour treatmenta( /enzymes (amylase , protease), allergen information: contains wheat and soy manufactured on equipment that also processes biscuits th, contain and peanut, additives are sourced from plant , synthetic origin-",https://images.openfoodfacts.org/images/products/899/276/021/1036/front_en.27.400.jpg,8992760211036_en.jpg
9557062321136,Jbs qtw,en,milk,"Dehydrated Potato Flakes, Palm Olein Contains Antioxidant (S!IN 320)], Tapioca Starch. Sour Cream Flavour, Onion Powder, Skim Milk Powder, Sal gar, Dextrose, Citric Acid, Centains Monosodium Glutamae",https://images.openfoodfacts.org/images/products/955/706/232/1136/front_en.34.400.jpg,9557062321136_en.jpg
9319133333574,"Carman's Super Berry Muesli Bars (Cranberry, Blueberry & Goji)",en,"gluten, nuts, sesame-seeds","Carman's Muesli Blend 80% (Whole Grain Oats 46%, Seeds 16% [Pepitas, Sesame Seeds, Sunflower Seeds], Fruit 14% [Berries (Cranberries 4.3%, Goji Berries 2.9%, Blueberries 1.4%), Currants, Coconut 2.7%], Sunflower Oil, Nuts 6% [Almonds, Pecans], Golden Syrup, Oat Flour, Cinnamon), Glucose, Natural Vanilla Flavour.",https://images.openfoodfacts.org/images/products/931/913/333/3574/front_en.26.400.jpg,9319133333574_en.jpg
9556121026500,Oat 25,en,,"wheat flour
Oat
Vegetable oil (palm oil)
sugar
glucose syrup
multi grain blend
salt
lecithin e322
fructo oligosaccharides
sodium bicarbonate e500
ammonium bicarbonate e503
milk flavour",https://images.openfoodfacts.org/images/products/955/612/102/6500/front_en.17.400.jpg,9556121026500_en.jpg
7622210642165,Breakfast Honey & Chocolate,en,"gluten, milk, soybeans","CEREALS (WHEAT FLOUR WHOLEGRAINS 20% (ROLLED OATS,WHOLE WHEAT (WHEAT FLOUR, WHEAT BRAN, WHEAT HYDROGENATED VEGETABLE OILS (PALM, RAPESEED), CHOCOLATE CHIPS (SUGAR, HYDROGENATED VEGETABLE FAT (PALM), COCOA POWDER, DEXTROSE, WHEY POWDER, TRISTEARATE (INS492), SOYA LECITHIN NS322), FLAVOUR), VITAMINS AND MINERALS (CALCIUM CARBONATE, IRON (FERRIC PYROPHOSPHATE), ZINC ZINC SULPHATE), E, B3, VITAMIN A ACETATE, D, B2, B1, B6, IODINE (POTASSIUM IODIDE), SELENIUM (SODIUM SELENITE), B12), RAISING AGENTS (SODIUM BICARBONATE INS500(i), AMMONIUM BICARBONATE INS503 (i)), MILK SOLIDS, SALT, HONEY, EMULSIFIERS (SOYA LECITHIN (INS322), SODIUM (INS4500)), ARTIFICIAL HONEY FLAVOR, NATURAL, ARTIFICIAL MILK FLAVOR, ARTIFICIAL VANILLA FLAVOR, ACIDITY REGULATOR (SODIUM HYDROXIDE INS524), FOOD ADDITIVES ARE OF PLANT AND SYNTHETIC ORIGINS ALLERGEN INFORMATION: CONTAINS WHEAT, OAT, MILK AND SOYA. MANUFACTURED ON EQUIPMENT THAT ALSO PROCESSES PRODUCTS GERM)), SUGAR, NON EMULSIFIERS (SORBITAN ACID PYROPHOSPHATE NATURE-IDENTICAL AND CONTAINING HAZELNUTS.",https://images.openfoodfacts.org/images/products/762/221/064/2165/front_en.4.400.jpg,7622210642165_en.jpg
9556587102053,Lotus Bun,en,soybeans,"Dough: 39%Wheat Flour, Water, Sugar, Food Conditioner (E420), Shortening (Palm Oil Based), Baking Powder (E500), Yeast and Salt. Filling: Sugar, Mung Dhall, Green Bean Split, Palm Oil, Water, Glucose, Lotus & Salt. Allergen Advice: Contains Wheat Gluten and Soy",https://images.openfoodfacts.org/images/products/955/658/710/2053/front_en.4.400.jpg,9556587102053_en.jpg
8991001780225,Twister Minis,en,"gluten, milk, soybeans","Sugar. Wheat Flour. Vegetable Oil Whey Powder, Cocoa Powder. Skimmed Milk Powder, Maltodextrin. Emulsifier (322 : Soy) Salt, Synthetic Vanilla Flavour",https://images.openfoodfacts.org/images/products/899/100/178/0225/front_en.4.400.jpg,8991001780225_en.jpg
9556121000234,Butter Crackers,en,"gluten, milk, corn-starch, tapioca","Wheat Flour, Vegetable Oil (Palm Oil), Sugar, Corn Starch, Whey Powder, Salt, Milk Fat (Butter),Tapioca Starch,Yeast, Leavening Agent: [Disodium Disphopate (E450(i)), Sodium Bicarbonate (E500), Ammonium Bicarbonate (E503)], Butter Flavour",https://images.openfoodfacts.org/images/products/955/612/100/0234/front_en.36.400.jpg,9556121000234_en.jpg
6946431801004,Tortilla chips,en,,"corn starch, Palm oil, ground brown rice, salt",https://images.openfoodfacts.org/images/products/694/643/180/1004/front_fr.3.400.jpg,6946431801004_en.jpg
51517502,Doublemint Cool Gum,en,soybeans,"SUGAR, GUM BASE, GLUCOSE SYRUP, FLAVOURING, PERMITTED FOOD CONDITIONERS (WITH SOYBEAN LECITHIN), GLAZING AGENT CARNALBA WAX, PERMITTED COLOURING, ANTIOXIDANT BHT",https://images.openfoodfacts.org/images/products/000/005/151/7502/front_en.4.400.jpg,51517502_en.jpg
9310988012737,Sea salt and vinegar,en,,"Potatoes, Sunflower and/or Canola Oil, Natural Flavour, Sugar, Sea Salt, Mineral Salt (Potassium Chloride), Yeast Extract, Vinegar Powder. MAY CONTAIN MILK, SOY.",https://images.openfoodfacts.org/images/products/931/098/801/2737/front_en.14.400.jpg,9310988012737_en.jpg
9420063600749,Hokey Pokey Crunch,en,"milk, soybeans","MILK CHOCOLATE [SUGAR, COCOA SOLIDS* 33%* (COCOA BUTTER & COCOA MASS), NZ MILK POWDER 30%, EMULSIFIER (SOY LECITHIN), VANILLA FLAVOUR]; HOKEY POKEY PIECES 15% [SUGAR, GLUCOSE, WATER, SODIUM BICARBONATE, HYDROLYSED MILK PROTEIN, SALT]. *MINIMUM PERCENTAGE. MAY BE PRESENT: PEANUTS, TREE NUTS, GLUTEN.
Milk chocolate (sugar, cocoa solids 33% (cocoa butter, cocoa mass), NZ milk powder 30%, emulsifier (soy lecithin), vanilla flavour), hokey pokey pieces 15% (sugar, glucose, water, sodium bicarbonate, hydrolysed milk protein, salt). May be present: peanuts, tree nuts, gluten.",https://images.openfoodfacts.org/images/products/942/006/360/0749/front_en.29.400.jpg,9420063600749_en.jpg
9556439885141,Oat Krunch,en,"gluten, milk, nuts","Oat Flakes, Wheat Flour, Palm Oil, Sugar, Glucose Syrup, Strawberry, Blackcurrant, Milk Powder, Calcium Carbonate, Hazelnut, Sodium Bicarbonate E500ii, Ammonium Bicarbonate E503ii, Lecithin E322, Salt, Flavouring",https://images.openfoodfacts.org/images/products/955/643/988/5141/front_en.12.400.jpg,9556439885141_en.jpg
8000500347508,,en,"gluten, milk, soybeans","is waffle stuffed with milk (41,5 %) and cocoa (38 %), ingredients: lc wheat flour (15,5 %), fat-reduced cocoa powder (4 % leavening agent (sodium bicarbonate), vanillin, may contain saf ferrero polska commercial sp, z o,o,, ul, wiertnicza 126, 02 eugesta (kibirkšties g,8, lt-02242 vilnius), /izplatītājs: sia ,quot,eur riga, t, 67472500), / distributor: as mobec, kurekivi tee 6, leh wartość odżywcza / maistinė vertė/ uzturvertiba/nutritional value wartość energetyczna (energy) /  energiné verté/enerģētiska vertiba/energy content tłuszcz /riebalal/tauki /rasvad w tym kwasy tłuszczowe nasycone / iš kurių sočiųjų riebalų rūgščių/ tostarp piesátinätäs taukskäbes/of which saturated fatty acids węglowodany/angliavandeniai/ oglhidrĳ �ti / carbohydrates w tym cukry/iš kurių cukrų/ tostarp cukuri /of which sugars białko/baltymai/olbaltumvielas/proteins sól/druska/sals/salt * referencyjna wartość spożycia dla przeciętnej osoby doroslej asmens vartojimo kiekis (8 400 kj/2 000 kcal/, quot,leteicamā deva vi adult reference intake (8 400 kj/2 000 kcal) 8 000500 347508,quot, 6 sztuk/ infolinia ferrer 801 55 oplata wedlug staw www,ferre serwis,konsumenck",https://images.openfoodfacts.org/images/products/800/050/034/7508/front_et.39.400.jpg,8000500347508_en.jpg
8888077102016,Meiji Zooland Printed Biscuits,en,"gluten, milk, soybeans","Wheat flour, Vegetable oil [Palm, Antioxidant (Tocopherol contains Soya)], Sugar, Butter, Malt extract (Barley), Seasoning [Maltodextrin, Hydrolysed vegetable protein, Yoghurt powder (Skim milk powder, Whey powder, Milk fat), Flavour enhancers (Disodium 5'-guanylate, Disodium 5'-inosinate)], Leavening agents (Sodium bicarbonate, Ammonium bicarbonate), Salt, Yeast, Natural colouring (Plain caramel), Artificial flavouring (Butter, Milk). Contains permitted colouring and flavouring. Food additives derived from plant and synthetic origin. Vegetable oil (Palm) is plant origin. Allergens: Contains Cereals containing gluten (Wheat, Barley), Milk and Soya. Manufactured on equipment that also processes products that contain Sesame.",https://images.openfoodfacts.org/images/products/888/807/710/2016/front_en.18.400.jpg,8888077102016_en.jpg
9316434288671,Wildberry Yoghurt Coated Muesli Bars,en,"gluten, milk, soybeans","Oat flakes, yoghurt cream (sugar, vegetable fats (palm kernel, palm, coconut), yoghurt powder, whey powder, lecithin (soya); citric acid, oligofructose syrup, cereal crisps (wheat flour, wheat malt, salt), glucose fructose syrup, sugar, palm fat, maltodextrin, cornflakes (corn, salt, barley malt extract), sugar, dried cranberries, rice flour, sunflower oil, sugar, glucose fructose syrup, blueberries, apple puree concentrate, rice flour, blueberry juice concentrate, pectin, palm fat, citric acid; flavouring, lemon fibers, flavouring, concentrated apple juice, raspberry, strawberry pieces, salt",https://images.openfoodfacts.org/images/products/931/643/428/8671/front_fr.3.400.jpg,9316434288671_en.jpg
8437001001712,Patatas aceite de oliva,en,,"Patata, aceite de oliva (30%), y sal rosa del Himalaya (1%)",https://images.openfoodfacts.org/images/products/843/700/100/1712/front_en.6.400.jpg,8437001001712_en.jpg
8934680045971,Socola Pie imp,en,"eggs, gelatin, gluten, milk","Sugar, wheat flour, maltose syrup, vegetable oil (palm), egg, humectants (422, 420(ii), cocoa powder (4%), whey permeate powder, emulsifiers (475, 471, 1520, 491, 1,470(1), 322(1), 476), dextrose, gelatin, salt, raising agents (450(1), 500(ii), stabilizers (1442,415), acidity regulator (330), flavors (artificial and natural chocolate flavor, artificial and nature identical vanillin flavor, artificial caramel flavor), preservative (202), cocoa mass, flavor enhancer (1104), cacao butter.",https://images.openfoodfacts.org/images/products/893/468/004/5971/front_en.5.400.jpg,8934680045971_en.jpg
7622201402686,Oreo Dutch Cocoa Wafer,en,"gluten, milk, soybeans","sugar, wheat flour, palm oil, cocoa powder (3,5%), corn starch, emulsifier (e322 (soy)), salt, whey (milk), raising agent (e500(ii)), vanilla flavouring,",https://images.openfoodfacts.org/images/products/762/220/140/2686/front_en.3.400.jpg,7622201402686_en.jpg
7622210631299,Dairy Milk Honeycomb & Nuts,en,"milk, nuts, soybeans","SUGAR, MILK SOLIDS (19%), COCOA MASS (10%), COCOA BUTTER, HONEYCOND PIECES (8%) (SUGAR, glucose syrup, sodium bicarbonate (ins500(ii)), CASHEW NUTS (7%), NON-HYDROGENATED VEGETABLE FAT (PALM, SHEA), HAZELNUTS (4%), EMULSIFIERS (SOyA LECITHIN (INS322) PGPR (INS476)), flavours",https://images.openfoodfacts.org/images/products/762/221/063/1299/front_en.3.400.jpg,7622210631299_en.jpg
0020916140201,Coated green peas,en,"crustaceans, eggs, gluten, nuts, sesame-seeds, soybeans","Green peas, corn starch, sugar, vegetable oil (palm oil), salt, wheat flour, rice flour and permitted food colourings (E102, E133). RAMUAN: Kacang hijau, kanji jagung, gula, minyak sayuran (minyak kelapa sawit), garam, tepung gandum, tepung beras dan pewarna makanan yang dibenarkan (E102, E133). 成份: 青豆 玉米淀粉、糖、植物油 (棕櫚油)、藍、面、 **** (E102, E133). المكونات: بازلاء خضراء، نشا الذرة، سكر، زيت نباتي (زيت النخيل)، ملح، دقیق القمح، دقيق الأرز، ملونات غذائية مسموح بها (E102 ، 133). ALLERGEN ADVICE: Contains wheat. Processed in facilities that also process peanut, tree nuts, egg, soy, crustacean and sesame.",https://images.openfoodfacts.org/images/products/002/091/614/0201/front_en.3.400.jpg,0020916140201_en.jpg
9555192508960,"Doublemint Chewy Mints, Strawberry Flavor",en,,"SUGAR, GLUCOSE SYRUP, PALM OIL, ACIDITY REGULATORS (MALIC ACID, CITRIC ACID, SODIUM CITRATE), DEXTRIN, THICKENERS (ACETYLATED DISTARCH ADIPATE, STARCH SODIUM OCTENYL SUCCINATE), NATURAL, NATURE IDENTICAL & ARTIFICIAL FLAVOURS, BLACK CARROT JUICE CONCENTRATE, GLAZING AGENT (CARNAUBA WAX). FOOD ADDITIVES ARE DERIVED FROM PLANT OR SYNTHETIC ORIGIN",https://images.openfoodfacts.org/images/products/955/519/250/8960/front_en.5.400.jpg,9555192508960_en.jpg
9400553457725,Huntley & Palmers Baked Sourdough Himalayan Pink Salt,en,gluten,"Wheat Flour, Sourdough Starter (Stoneground Wholemeal Wheat Flour, Sourdough Culture), Sunflower Oil, Salt (Sea, Himalayan Pink (0.5%)), Sugar, Onion Powder, Yeast, Garlic Powder",https://images.openfoodfacts.org/images/products/940/055/345/7725/front_en.10.400.jpg,9400553457725_en.jpg
9717905016050,Yuki & love japanese style Red Bean mochi,en,"gluten, soybeans","red bean paste, sugar, glutinous rice, sugar, red bean, water, maltose, palm oil, wheat flour, soy sauce, soybeans, salt, water, sugar, salt, thickener E412, thickener E415, raising agent E500, raising agent E450, preservative E202",https://images.openfoodfacts.org/images/products/971/790/501/6050/front_en.11.400.jpg,9717905016050_en.jpg
