image_name,text,confidence,quality,text_length,product_name,allergens
0009542034467_en,Findl: LINDOR Lmodr cNolaina arn COcoa Heuaatunay,0.2697852897888675,0.4083333333333333,49,Extra Dark Chocolate Truffles,"gluten, milk, soybeans"
0009542034870_en,FA6 95% COCOE DARA CHOCOLATE SW,0.3697654405623714,0.3697654405623714,31,DARK CHOCOLATE,nan
0009542037949_en,ROASTED HAZELNUT DARK CHOCOLATE,0.6489845475483932,0.6489845475483932,31,Lindt Excellence Roasted Hazelnut Dark Chocolate,"milk, nuts, soybeans"
0009542043568_en,Sindt LINDOR IrI5us ticim_ Mcocoiui DALL Coco H,0.3995171557217358,0.3995171557217358,47,Lindor dark assortment,"gluten, milk"
0009542425081_en,TINDOR NEAFOHIAN,0.3265080760625723,0.3265080760625723,16,Lindt,"gluten, milk, soybeans"
0009542425999_en,~irdf EXCELLENG 100% COCOA UNSWEETENED CHOCOLATE NET WT LZO2 (5021,0.7183003163590349,0.7183003163590349,66,100% Cocoa Unsweetened Chocolate,nan
0009542428129_en,Jindl} TNDOR IbrcsIstiollSMLotn Ougka WhitchocolaTE TQuhLls MaTCHA,0.2038651856419614,0.55,66,Matcha White Chocolate Truffles,"milk, soybeans"
0009542439972_en,~incltis LINDOR UrrESISTIBLY sMooth chocolate Truffles ASSORIID,0.3457757237086606,0.525,63,Lindor assorted chocolate,"milk, soybeans"
00097604_en,M&s NEW BRIOCHE BURCER BUNS,0.9477894153608616,0.9477894153608616,27,Brioche Burger Buns,"eggs, gluten, milk"
0009800000555_en,Udat 2 bueno,0.5505375790451191,0.5505375790451191,12,Bueno Crispy Creamy Chocolate Bar,"gluten, milk, nuts"
0009800000715_en,FERRERO ROCHER Fine Hazelnut Chocolates NET WTS.3 OZ (150g),0.7860284901862057,0.7860284901862057,59,Rocher fine hazelnut chocolate,"gluten, milk, nuts, soybeans"
0009800006304_en,ca 200 MINTS 2 calories per mint tic tac fruit adventure 407Gec Lessthan <,0.6228237399637433,0.6228237399637433,74,Tic tac fruit adventure mint,nan
0009800006335_en,(a9) ZDMNUS tic tac orange,0.638346722500373,0.638346722500373,26,Tic Tac Orange,nan
0009800007455_en,89] 1 8,0.3708205846830399,0.3708205846830399,7,Tic Tac Tropical Adventure,nan
0009800007615_en,tic tac KTCOSUT Guic FRESHMINTS,0.573843456116018,0.573843456116018,31,Tic Tac Freshmints,nan
0009800007639_en,2 calories per mint tic tac Orange MRIGONLYELANO RwLNIS KT WTTa (2] sIhan: Less /,0.5857144361551286,0.675,81,Tic Tac Orange,nan
0009800007677_en,Exie wintergreen' Rifcaliaunrut Mimtirrd wintergreen packs 12,0.5240977796193602,0.5240977796193602,61,Tic tac Wintergreen,nan
0009800120321_en,FERRERO ROCHER Ina jodn &ptems Fine Hazelnut chocolates NET WT 5.3 Oz (1s0g),0.5211977337883292,0.6333333333333333,76,Fine Hazelnut Chocolates,"gluten, milk, nuts"
0009800120659_en,FERRERO ROCHER Acl,0.5546748912617508,0.5546748912617508,18,Ferrero Rocher,"gluten, milk, nuts, soybeans"
0009800123018_en,FERRERO ROCHER,0.7031896689356822,0.7031896689356822,14,Fine Hazelnut Chocolates,"gluten, milk, nuts, soybeans"
0009800124015_en,FERRERO ROCHER MNRHATMNT CHOCOLTa- Hoonr,0.3567256250551614,0.3567256250551614,40,Fine hazelnut chocolates diamond gift box,"gluten, milk, nuts, soybeans"
0009800125111_en,FERRERO ROCHER Foan cocoa DARR HAZELNUT darK CHOCILATE Oim,0.4045843918737864,0.4833333333333333,58,Dark Chocolate bar with hazelnut and cocoa filling,"milk, nuts, soybeans"
0009800125142_en,RSHRR) onn uutotaol,0.1662739048294083,0.1662739048294083,19,Dark Hazelnut and Crunchy Salted Caramel,"milk, nuts, soybeans"
0009800128013_en,FERRERO ROCHER,0.9450573034475498,0.9450573034475498,14,Fine Hazelnut Chocolates,"gluten, milk, nuts"
0009800190096_en,Dark Chocolate Pearl Center FERRERO RONDNOIR: Dark Chocolales NET 0arz 4otom,0.5690895408199367,0.6333333333333333,76,Fine Dark Chocolate,"gluten, milk"
0009800300037_en,"MuI ALOWCALOHIEFoqd SUGAR FREE GUM t8 GUM cool watermelon Artificially Lamurau 56P1Ecs NEW ,",0.5648078401830459,0.7666666666666667,92,Sugar free gum,nan
0009800554041_en,Kinder buene Grispy Crorolult Bar Drean,0.4500606388435058,0.4500606388435058,39,Crispy Creamy Chocolate Bar,"gluten, milk, nuts, soybeans"
0009800556014_en,SHARE NEWL PACK Kinder 2K buengu Crispy Crcumy Chocolate Bite UCR SF Unafer blte WIt hEAYIY FKCHOcol 62,0.5144756301750524,0.8583333333333333,103,Kinder Bueno Mini bag,"gluten, milk, nuts, soybeans"
0009800556021_en,NCK Kinder buenai Chocolate Bite Crspy MaFererre WTTH CEaMv Kant iunnur TAMILY GEEREAMND Mueno Crispy Crcamy = Croccltt,0.429363851146896,0.9916666666666668,119,Bueno mini,"gluten, milk, nuts, soybeans"
0009800800094_en,Pretzel Sticks nutella' 8GOI,0.6166505947127822,0.6166505947127822,28,nutella & GO! Hazelnut Spread + Pretzel Sticks,"gluten, milk, nuts, soybeans"
0009800800162_en,"16 PACK 260 16-1.8 OZ (529) PacKS ToTAVETKT 29,302 (832q] HAZELNUT ! nutella Breadsticks GGOA Breadsticks wih nutella' RGoi oreadsticts[ 'Sprtad",0.5472937693180412,1.0,144,Nutella & Go! with Breadsticks,"gluten, milk, nuts, soybeans"
0009800820016_en,nutella B-ready,0.9063708578846726,0.9063708578846726,15,b-ready crispy wafer,"gluten, milk, nuts, soybeans"
0009800820061_en,"nutella Bready B (8 cristY ""YNZEFERFILLED XDTMNUTOCOA WWITh COcOA 6-0,702 (22OIPACKS / TOTAL NET WT 46 02(1329] nute",0.3341646675286268,0.9666666666666668,116,Nutella b-ready,"gluten, milk, nuts, soybeans"
0009800820078_en,nutella B-ready 36 FERRERO OufTMaFRFWUEDW AMa FIZIUNUT $XEAD WTIHcOrOt ~Ju-0.702(220] FXeKST TOTAL NETMT 27.9020922,0.386420897329864,0.9583333333333334,115,Nutella B-ready,"gluten, milk, nuts, soybeans"
0009800830039_en,'20 nutella bistuits Loenit FIND; Ceran Meter J IIn 7 Treat RlaL Atderknacuai,0.3450921243461994,0.6416666666666667,77,biscuits,"gluten, milk, nuts"
0010300333241_en,EMERALD PACkS 100 Calorie Packs CASHEWS ROASTED & SALTED 730462 QI (17.5 eV BUSS ZOTAL MeT WT 1.34 OZ (123 3 LoS58etn,0.5119145405910615,0.975,117,Calories cashews roasted and salted,nuts
0010300333999_en,[EMERALD 100 Catrie Pack CASHEWS ROASTed SALTED,0.665567819562891,0.665567819562891,47,Cashews Roasted & Salted,nuts
0010300343295_en,"EMERALD JOO Calorie Pack WHOLE ALMONDS HeT WT 0,62 0z (17,5g)",0.8160508576527356,0.8160508576527356,61,Whole Almonds,nuts
0010300345626_en,DIAMOND Vener PREHIVY OUALITY SINCC Ee Sliced Almonds NET WT 4002 (113.491,0.4487860963818036,0.6166666666666667,74,Sliced Almonds,nan
0010300348955_en,EMERALD PAckS 100 Calorie Packs DRY ROASTED ALMONDS 10.63 02 (I8 [) E4Gs Gotal Mef WT 4.41 2 (126 g7 ~&,0.5669689724807185,0.8583333333333333,103,Nuts,nuts
0010300543251_en,EMERALD PAcks 100 Catorie Paeks NATuRAL ALMONDS & WALNUTS 3*0.56 02 (15.8 2] BuSS JoTal MEt WT 3.52 02 (111 g,0.5550437450154325,0.9083333333333332,109,Emerald Natural Almonds and Walnuts,nuts
0010300808916_en,EMERALD 100 Calorie Paeks PaCkS MATURAL WALNUTS &ALMONDS WIh DRIED ChERRIES 740.67 02 (I9EIMSS TOTAL NEL W 4.69 02 (13331 NEWI,0.607376137093079,1.0,126,100 calorie packs,nuts
0010300808947_en,EMERALD GLAZED WalnUts,0.61918568939279,0.61918568939279,22,Glazed Walnuts,"nuts, soybeans"
0010300808954_en,VacuE EMERALD SALT & PEPPER CASHEWS NET WT 5 0z (141g),0.6014002630781474,0.6014002630781474,54,Cashews,nuts
0010300808992_en,EMERAL 100 CALORIE SNACK PR MtNnc10? AMN,0.3575244930120941,0.3575244930120941,40,"100 Calorie Snack Pack Walnuts, Almonds & Dried Cherries",nuts
0010300809012_en,EMERALD 100 Catorie B Packs PacKS CASHEWS &ALLAONDS Mm DRIED CRANBERRIES 05707 (703] TOTAE Mffoi [43 07 (1800) NEWI SacmE Mbs,0.5469016207943164,1.0,125,Cashews & Almonds With Dried Cranberries,nuts
0010300809098_en,EMERALD 100 CALORIE SNACK PACK TNty NETWT 06902 Qw,0.4546400753497278,0.4546400753497278,50,SNACK PACK,nuts
0010300863649_en,MISWERLEI EMERALD COCOA ROAST ALMONDS NET WT 5 0z (141g),0.6957291775843324,0.6957291775843324,56,Cocoa Roast Almonds,nuts
0010300933649_en,IHOLE CASHEWS ROASTED SALTED MET WT 5 EMERALV 02 (M1g),0.4987412323508022,0.4987412323508022,54,Whole cashews,nuts
00104975_en,M&s 100% COCOA SINCLE ORICIN PERU 100% Cocor (DHD =,0.7948700071512487,0.7948700071512487,51,Single Origin - Intense Dark Cacao,nan
0010700021526_en,"with KETWI 5 02 (14101 @uds Mik Caramel Chocolate , made",0.7213210384585956,0.7213210384585956,56,Chocolate and caramel candy,"milk, soybeans"
0010700088130_en,Good Plenty NET WT 6 OZ (170 g) Prp %5 Riece SeF CANDY LCOrICe',0.5644524876357322,0.5644524876357322,63,Good and plenty,gluten
0010700101099_en,rginal Oorpd JOLLQ Iranched candy hard FLaVORS Pu arnttner Aeeni,0.3820094192410982,0.5333333333333333,64,Original flavors,soybeans
0010700501806_en,OFEM HERE Esa UELLLRD Mallte IlLa Drcixbi MALteD NED WT 12 OZ (340 g) 0,0.2240318903409742,0.5916666666666667,71,Chocolate malted milk balls candy,"gluten, milk, soybeans"
0010700517227_en,REds uueok Heemnun JOLLY iranched candy hard =,0.3578668628525501,0.3833333333333333,46,Hard Candy,soybeans
0010700519528_en,6 CheWs Original Flavors_ Waterhelon 220 Olug Rasplcrtry Ome 20602888 JOLLY tancher Outtncbpl clatia cudoes,0.2284365823019771,0.8916666666666667,107,Fruit chews candy,"gelatin, soybeans"
0010700530066_en,Suacuciovs {orcomwotcrmolon; MIXCD BIREY ipindapelo Fuwao 3ld ED,0.13239848103153,0.5333333333333333,64,Shaq a vicious xl gummies,nan
0010700531001_en,"CDOAFAF Ba NETWI 10 0z (283 9 Duds MikL Contt] Mik Duds, Caramel moc= Chocolate =",0.5081215012218729,0.675,81,Hersheys made with chocolate and caramel,"milk, soybeans"
0010700702302_en,02i' JouY Jouy jouy Iqancher Jouy Rancher) CANDV HARD,0.4170064890279063,0.4416666666666666,53,Jolly Rancher Hard Candy,soybeans
0010700702623_en,"rancher GXANI3 original Ner ""T7 02 (1999) JOUL tlavors",0.4375262504527535,0.45,54,Jolly Rancher Gummies Original,nan
0010700702807_en,"NEW NA ZERO SUGAR ""talorenlirrm RTAME ME JOLQ ranched 'candy Hard (",0.5559878975282821,0.5583333333333333,67,Jolly Rancher Zero Sugar,nan
0010700707819_en,WM BIR {SIZE SNACK = QA BAYDY 10m; njcrl,0.2664780854353275,0.3333333333333333,40,Peanut Caramel Bar,"milk, peanuts"
0010700859280_en,ZERO SUGAR TRO Jaty jotuy Rancher| CANDI (HARd Wanchn,0.5198998827470123,0.5198998827470123,53,Zero Sugar Tropical Hard Candy,soybeans
00107273_en,"TRADER JOE""$ CRISPY CHIP AS Gircle CHocoLATE CRUNCHY Cookt",0.5959984540623992,0.5959984540623992,58,Crispy Crunchy Chocolate Chip Cookies,"eggs, gluten, milk, soybeans, coconut"
0011110006417_en,FIG BARS,0.989439000712858,0.989439000712858,8,Fig bar,"gluten, soybeans"
0011110007049_en,ORIGINAL VANILLA WAFERS - ARTIFICIALLY FLAVORED Aae Anin( POAe NET WTM Oz (Jilg),0.4364797826225768,0.6666666666666666,80,Original vanilla wafers,gluten
0011110008398_en,HALVES $ PIECES CASHE S,0.4885722605284497,0.4885722605284497,23,HALVES & PIECES CASHEWS,"nuts, peanuts, soybeans"
0011110008633_en,(Kroger (8eo dab MHILY SILTED LESS SUOLLTMKOARLEUm Hxed 5093 PEANUTS NUTS THAHE (ad KETit,0.3495400839181782,0.7416666666666667,89,Lightly Salted Mixed Nuts,"nuts, peanuts, soybeans"
0011110012883_en,'errk organic BLUEBERRY Wafflbs Good TMNOM,0.5203730647625268,0.5203730647625268,42,organic blueberry waffles,"gluten, soybeans"
0011110015884_en,CHUNKY ChipMies Chocolate Cookles chocolate Eeth Da Chip',0.4333045407559949,0.475,57,Chipmates chunky chocolate chip cookies,"gluten, milk, soybeans"
0011110015914_en,WHITE Chi ChipMaies hite Jhips CHocdlate Chunk Cookies MITh REAL (ose chocolate,0.5019819483501312,0.6583333333333333,79,"Chunky Chocolate Chip Cookies, White Chip","gluten, milk, soybeans"
0011110027528_en,Sweetened BANANA CHIPS TAJIEYE ELUlucuJiul #hOrSSEDCRICUIFVIAT VenncesceSEAAMS TRMHUM NET WT. 9.5 OZ (269g) N FRESH LocK,0.3228750996145118,1.0,120,Sweetened banana chips,banana
0011110029942_en,Udta OriGiNaL Potato Chips Mimj0744,0.4486815153627847,0.4486815153627847,35,Kettle cooked original potato chips,nan
0011110030030_en,Udta JaLaPeno Potato Chips,0.5268137165966779,0.5268137165966779,26,Kettle cooked jalapeno flavored potato chips,milk
0011110032416_en,organic MANGOES Vnsulgurco 01011402 (Io oried,0.5452469117880688,0.5452469117880688,45,DRIED MANGOES UNSULFURED,nan
0011110035424_en,Kroger POPCORN YELLOW PERPELT FoA POPCORN pFOs THE MICROWAVE POPCORN CAPIHER TotS LMAAL Toux MIMLI,0.4892322904923961,0.8166666666666667,98,Kroger yellow popcorn,nan
0011110035431_en,PPOPCORN WHITE CrN VITOF HTM FOPcui *,0.5124386531518429,0.5124386531518429,37,Popcorn White,nan
0011110036711_en,Whole Grains Per Serving 100% Whole truth Purple Graln nple Popcorn,0.7326499808211312,0.7326499808211312,67,100% whole grain purple popcorn,nan
0011110040626_en,ALAEcu Gedde asin8z? Wmtom,0.0577307008099617,0.2166666666666666,26,Chewy Granola Cashew & Sunflower Butter Granola Bars Vanilla Chip,nuts
0011110043573_en,simple truth RAW ALMONDS ~Eytm445 MET NT8OI2A2269I,0.6708636039440661,0.6708636039440661,50,Raw almonds,nuts
0011110047755_en,truth 1 CHIPOTLe FLAVORED WT7OZ (1969) slmple 'BbQ pistachios,0.553978770319956,0.553978770319956,61,Chipotle bbq pistachios,nuts
0011110052698_en,FRor trupk Sunflower Butter JLled 016808907,0.4025906402006603,0.4025906402006603,43,sunflower butter filled pretzels,gluten
0011110054050_en,Simpletruth CHOCOLATE organic CHIP COOKiES MET WT 12.02 (3409),0.6382585831125619,0.6382585831125619,62,Chocolate Chip Cookies,gluten
0011110055651_en,FRE FRo simple truth 1 Cranberry Oat CRISP CRACKERS,0.8149679816312503,0.8149679816312503,51,Cranberry Oat Crisp Crackers,"gluten, milk, nuts"
0011110083548_en,"SESAME STICKS (uyolencked Nheat flour MALtEOAldAQU UNGBED LNTS: Eaenc HeD ameat Fuola Riboflavin FOL K #Qdl aine MilOroyirDJuaL nn pugdmri pcet poxoer (coloru, Tume; < icolori cohinins: Nhlat , Pauk Essed ohEquipmenT IHAI NiSO PrlcESSES PeamutS, So1, IREE NuTS MiLL WT. 9 OZ (255g) ereSH LocK Thlu tr NET",0.2620524900177874,1.0,304,Sesame sticks,"gluten, sesame-seeds, soybeans"
0011110086570_en,WHIT ( tortILLa #UGINGL RESTAURANT STVLE CHIPS,0.5161670825650598,0.5161670825650598,46,Tortilla Chips Original White Restaurant Style,nan
0011110088802_en,LTie FuHuChR Salt Peanu LANTE WAVY QUTEN FREE Mmbozp,0.5699932755245728,0.5699932755245728,52,Classic potato chips,nan
0011110088840_en,c RISPy A N D c RUNcHT Wauy Lightly Salted %u C Poiaio Chlps 50* LESS SODIUM WET WT 7.75 OZ (219g),0.4242018529436615,0.8166666666666667,98,Wavy Lightly Salted Potatoe Chips,nan
0011110088871_en,(HEDDAR ASOJUJR CREAM AAVRALLY R ARIFICHALLY FLAVUHE POTATU CHpS RIPPLES GLUTEN FREE NET WT7S 0z QIJ,0.5700315333213208,0.8333333333333334,100,Cheddar & Sour cream chips,milk
0011110090904_en,SINES CRAcIe: $ ~ORIGINAL NETWTUoZ MLB] 452,0.3164917763302531,0.3583333333333333,43,Saltines,"gluten, soybeans"
0011110091307_en,Recipe Who GMIM OM Backi Potor05 Eauntins 03@0 cinnamon graham crackers ~NeTWT 1440z uadi,0.4698564892033773,0.7416666666666667,89,"Kroger, graham crackers, cinnamon","gluten, soybeans"
0011110091420_en,Nnitwist piezels,0.477495508681772,0.477495508681772,16,Mini Twist Pretzels,gluten
0011110093851_en,Marsh- hallows Yo 0 2 { arshnaiaWs haid,0.2961760151174684,0.325,39,Marshmallows,gelatin
0011110094971_en,Stick pielzels,0.6621550895458035,0.6621550895458035,14,"Kroger, pretzels haus stick","gluten, soybeans"
0011110096029_en,@#4 Jopay WHIte corn Witk 4 Kick DF LiME NATurALLY FLAVORED @0 AddEO: 'MTEN FaEE,0.2557971701488848,0.6666666666666666,80,Kick of Lime Tortilla Chips,milk
0011110096357_en,PEA FLAVOHED PUTATU MHPS,0.3007388213799515,0.3007388213799515,24,Spicy Dill Pickle Potato Chips,nan
0011110096487_en,PEANUT BUTTER Tilled pretzels PAAEU 4t02402 (6 0Ice,0.4781076371014782,0.4781076371014782,51,Peanut Butter filled pretzels,"gluten, peanuts"
0011110097736_en,Bated mni Qystelv CRACKERS Hitmdulzy ~daWQva,0.423949801996924,0.423949801996924,44,Baked mini Oyster Crackers,"gluten, soybeans"
0011110100290_en,"TRADITIONAL FLAVORS VARIETY PACK Harlawauleunlt anlee tea CtNnanangsprct MATURALLY FUAVOREU Instant Qatmeal HEART heanthy 100""Waole Oaaly Qats He NO milI Eenemene NEI WT6/O2 (o0n) 10",0.4116641272069814,1.0,182,Instant oatmeal,nan
0011110102959_en,FRor simple truth 'Caasaua Jloux GRAIN FREE TORTILLA CHIPS LIME,0.7575638025563258,0.7575638025563258,63,Grain free tortilla chips,nan
0011110108142_en,"21g 'WOLE GRANS 124_ FRor Ukoac eruzle , PROTEIN ' Walller BLuebERRY VelIJ0J2o2 (ig)",0.332794318543779,0.7,84,Protein Waffles Blueberry,nan
0011110109965_en,RESTAURANT STYIE tortiLLA chps (IGINAL WKI ~e,0.4197868685682968,0.4197868685682968,45,Original White Restaurant Style Tortilla Chips,nan
0011110121493_en,1 3 3 1 8 M 8 3 1,0.4836545622307046,0.4836545622307046,17,72% Cacao Dark Chocolate Chunks,nan
0011110130501_en,"SOFT BAKED 16 BARS FRUIT& GRAIN CEREAL BARS STRAWBERRY MADE WItH 8g WHOLE GRAINS God squaclor calciur MiCHMUGdiccorl?iuR 16,13 0205ig/BARS NET WT 2O3O2O7LBA.8 0z/590g",0.6802388650093735,1.0,166,Soft Baked Fruit & Grain Cereal Bars,"eggs, gluten, milk, soybeans"
0011110132451_en,FREE FROM simple truth Nggie? | SIRAWS CHEDDAR 3O%LESS FAT eel Grat Hnt SNACK Hot,0.5317457515892596,0.675,81,Simple Truth Veggie Straws Hot Cheddar,milk
0011110132468_en,simple truth Vegges STRAWS 30% FAT THAh EeE artitich RANCH HaIurALLY FLAVORED % LESS,0.565168435784638,0.7,84,Veggie Straws Ranch,"milk, soybeans"
0011110182708_en,PiStAcHIOS,0.1519027651294067,0.1519027651294067,10,Roasted & Salted Pistachios,nuts
0011110182760_en,"FRGR simple truth 1 Roasted NO SALTED PigtaciE8s NET WTI2O2 (409),",0.5348816272336308,0.55,66,Roasted & salted no shell pistachios,nuts
0011110357946_en,RicE HH,0.3332630115532201,0.3332630115532201,7,WHITE CHEDDAR RICE CAKES,milk
0011110660329_en,Xoo HONEY ROASTED PEAINU6 wH SEA SALT '(340g) ELAREID t0 SALTED ' J120l ( ur Du,0.3940432488520208,0.6583333333333333,79,Honey roasted peanuts,"peanuts, soybeans"
0011110732071_en,"LESS THAN 507 PEAHUTS"" MiH SEA SALT 1 963g MXED NUTS F SALTED 1073402 62 48202} 9",0.5092560247738996,0.675,81,Salted mixed nuts,"nuts, peanuts, soybeans"
0011110799029_en,"MIC R O WAVE POPCORN 9UGINER S DIENE THE FLAVOR ALL DTHERS ARE JUDGED 9X NOTXING BUTTER THANTHE OHUGINAL' 6 3,03 Met!NT 48 OZ (IB 2 04 510g",0.4335833858025709,1.0,139,Microwave popcorn original butter,soybeans
0011110811820_en,organic ORIGIPJACGRX,0.6080028501212105,0.6080028501212105,20,ORIGINAL MICROWAVE POPCORN,nan
0011110812858_en,Singl Toemecnnane Kroger) cauatts= LEMON PEPPER Lvcafc TUNA pe NETW2SO2 (Uj Serve,0.3739531397306525,0.675,81,Lemon pepper tuna,nan
0011110834416_en,Cmon ste_ Organic CARA MEL Hini Rice CAKES,0.4382416900570193,0.4382416900570193,42,Himalayan Salted Caramel Mini Rice Cakes,nan
0011110834607_en,FRES simple truth organic SNACK CRACKERS FLaKY buttery TextuRE HeT WI 8 02 (274],0.646743432434629,0.6666666666666666,80,SNACK CRACKERS,gluten
